Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
30226723,"King's Cage (Red Queen, #3)",Victoria Aveyard,"Aveyard, Victoria",,62310712,9.78E+12,3,3.96,HarperTeen,ebook,528,2017,2017,,2/18/2017,,,read,,,,1,,,0,,,,,
1934,Little Women,Louisa May Alcott,"Alcott, Louisa May",,451529308,9.78E+12,0,4.11,Signet Classics,Paperback,449,2004,1869,,2/13/2017,to-read,to-read (#61),to-read,,,,0,,,0,,,,,
23174274,"Glass Sword (Red Queen, #2)",Victoria Aveyard,"Aveyard, Victoria",,62310666,9.78E+12,3,3.85,HarperTeen,Hardcover,444,2016,2016,,1/5/2017,,,read,,,,1,,,0,,,,,
11869272,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",Katherine Boo,"Boo, Katherine",,1400067553,9.78E+12,3,3.97,Random House,Hardcover,278,2012,2012,,12/18/2016,,,read,,,,1,,,0,,,,,
15819028,"The Golem and the Jinni (The Golem and the Jinni, #1)",Helene Wecker,"Wecker, Helene",,62110837,9.78E+12,5,4.08,Harper,Hardcover,486,2013,2013,,10/19/2014,,,read,,,,1,,,0,,,,,
2744,Anansi Boys (American Gods #2),Neil Gaiman,"Gaiman, Neil",,60515198,9.78E+12,3,4.01,HarperCollins HarperTorch,Mass Market Paperback,387,2006,2005,,12/29/2014,,,read,,,,1,,,0,,,,,
18143977,All the Light We Cannot See,Anthony Doerr,"Doerr, Anthony",,1476746583,9.78E+12,5,4.32,Scribner,Hardcover,531,2014,2014,,5/28/2014,,,read,,,,1,,,0,,,,,
11,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,,,0,4.22,Del Rey Books,Mass Market Paperback,216,2005,1979,,8/6/2013,,,read,,,,1,,,0,,,,,
13326831,"The Testing (The Testing, #1)",Joelle Charbonneau,"Charbonneau, Joelle","Amélie Sarn, Amélie Hesnard",547959109,9.78E+12,3,4.03,Houghton Mifflin,Hardcover,325,2013,2013,,8/5/2013,,,read,,,,1,,,0,,,,,
6643090,Major Pettigrew's Last Stand,Helen Simonson,"Simonson, Helen",,1400068932,9.78E+12,3,3.89,Random House,Hardcover,359,2010,2010,,12/18/2016,,,read,,,,1,,,0,,,,,
21996,The Devil in the White City,Erik Larson,"Larson, Erik",Tony Goldwyn,739303406,9.78E+12,3,3.98,Random House Audio Publishing Group,Audio Cassette,447,2003,2003,,12/18/2016,,,read,,,,1,,,0,,,,,
25893693,Lilac Girls,Martha Hall Kelly,"Kelly, Martha Hall",,1101883073,9.78E+12,0,4.27,Ballantine Books,Hardcover,487,2016,2016,,11/22/2016,to-read,to-read (#60),to-read,,,,0,,,0,,,,,
30966685,Black Water Lilies,Michel Bussi,"Bussi, Michel",Shaun Whiteside,,,3,4.01,Weidenfeld & Nicolson,Kindle Edition,369,2016,2011,,8/10/2016,,,read,,,,1,,,0,,,,,
20170404,Station Eleven,Emily St. John Mandel,"Mandel, Emily St. John",,385353308,9.78E+12,3,4.05,Knopf,Hardcover,333,2014,2014,,5/14/2016,,,read,,,,1,,,0,,,,,
865,The Alchemist,Paulo Coelho,"Coelho, Paulo","Alan R. Clarke, กอบชลี และ กันเกรา",61122416,9.78E+12,4,3.89,HarperCollins,Paperback,197,1993,1988,,7/11/2016,,,read,,,,1,,,0,,,,,
968,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,"Brown, Dan",,,,3,3.88,Anchor,Paperback,489,2006,2003,,8/6/2013,,,read,,,,1,,,0,,,,,
130580,Old Yeller,Fred Gipson,"Gipson, Fred",,60935472,9.78E+12,4,4.08,Harper Perennial Modern Classics,Paperback,132,2001,1958,,4/11/2013,,,read,,,,1,,,0,,,,,
13425592,"Devil in the Grove: Thurgood Marshall, the Groveland Boys, and the Dawn of a New America",Gilbert King,"King, Gilbert",,62097717,9.78E+12,5,4.39,Harper,ebook,434,2012,2012,,4/27/2016,,,read,,,,1,,,0,,,,,
9460487,"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,"Riggs, Ransom",,,,3,3.91,Quirk,Hardcover,352,2011,2011,,1/30/2013,,,read,,,,1,,,0,,,,,
15507958,"Me Before You (Me Before You, #1)",Jojo Moyes,"Moyes, Jojo",,670026603,9.78E+12,4,4.25,Pamela Dorman Books/Viking,Hardcover,369,2012,2012,,2/4/2016,,,read,,,,1,,,0,,,,,
23253083,"Flamecaster (Shattered Realms, #1)",Cinda Williams Chima,"Chima, Cinda Williams",,006238094X,9.78E+12,3,4.04,HarperCollins,Hardcover,535,2016,2016,,5/26/2016,,,read,,,,1,,,0,,,,,
8520610,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,"Cain, Susan",Carlo Prosperi,307352145,9.78E+12,0,4.05,"Crown Publishing Group/Random House, Inc.",Hardcover,352,2012,2012,,5/2/2016,to-read,to-read (#59),to-read,,,,0,,,0,,,,,
9361589,The Night Circus,Erin Morgenstern,"Morgenstern, Erin",,385534635,9.78E+12,5,4.03,Doubleday,Hardcover,387,2011,2011,,9/6/2013,,,read,,,,1,,,0,,,,,
20696006,Being Mortal: Medicine and What Matters in the End,Atul Gawande,"Gawande, Atul",,805095152,9.78E+12,5,4.43,Metropolitan Books,Hardcover,282,2014,2014,,6/27/2015,,,read,,,,1,,,0,,,,,
2199,Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,"Goodwin, Doris Kearns",,,,0,4.22,Simon & Schuster,Paperback,916,2006,2005,,1/13/2016,to-read,to-read (#58),to-read,,,,0,,,0,,,,,
96123,All the President's Men,Carl Bernstein,"Bernstein, Carl",Bob Woodward,1416522913,9.78E+12,0,4.14,Pocket Books,Paperback,480,2005,1974,,1/13/2016,to-read,to-read (#57),to-read,,,,0,,,0,,,,,
1971304,City of Thieves,David Benioff,"Benioff, David",,670018708,9.78E+12,0,4.24,Viking Books,Hardcover,258,2008,2008,,1/13/2016,to-read,to-read (#56),to-read,,,,0,,,0,,,,,
139253,The House on Mango Street,Sandra Cisneros,"Cisneros, Sandra",,679734775,9.78E+12,5,3.68,Vintage,Paperback,110,2009,1984,,1/13/2016,,,read,,,,1,,,0,,,,,
18143905,The Opposite of Loneliness: Essays and Stories,Marina Keegan,"Keegan, Marina",,147675361X,9.78E+12,3,3.83,Scribner,Hardcover,208,2014,2014,,1/13/2016,,,read,,,,1,,,0,,,,,
13486632,"The Hundred-Year-Old Man Who Climbed Out of the Window and Disappeared (The Hundred-Year-Old Man, #1)",Jonas Jonasson,"Jonasson, Jonas",Rod Bradbury,1843913720,9.78E+12,0,3.81,Hesperus Press,Paperback,396,2012,2009,,1/13/2016,to-read,to-read (#55),to-read,,,,0,,,0,,,,,
6493208,The Immortal Life of Henrietta Lacks,Rebecca Skloot,"Skloot, Rebecca",,1400052173,9.78E+12,5,4.07,Crown Publishing Group,Hardcover,370,2010,2009,,1/13/2016,,,read,,,,1,,,0,,,,,
1760630,Self-Reliance,Ralph Waldo Emerson,"Emerson, Ralph Waldo",,1604500093,9.78E+12,0,4.01,ARC Manor,Paperback,52,2007,1841,,1/4/2016,to-read,to-read (#54),to-read,,,,0,,,0,,,,,
18619684,The Time Traveler's Wife,Audrey Niffenegger,"Niffenegger, Audrey",,,9.78E+12,3,3.98,Zola Books,ebook,500,2013,2003,,1/1/2016,,,read,,,,1,,,0,,,,,
9969571,"Ready Player One (Ready Player One, #1)",Ernest Cline,"Cline, Ernest",,030788743X,9.78E+12,4,4.24,Crown Publishers,Hardcover,374,2011,2011,,1/18/2014,,,read,,,,1,,,0,,,,,
23209971,Girl at War,Sara Nović,"Nović, Sara",,812996348,9.78E+12,0,3.97,Random House,Hardcover,320,2015,2015,,12/30/2015,to-read,to-read (#53),to-read,,,,0,,,0,,,,,
166997,Stoner,John  Williams,"Williams, John",John McGahern,1590171993,9.78E+12,0,4.29,New York Review Books,Paperback,278,2006,1965,,12/30/2015,to-read,to-read (#51),to-read,,,,0,,,0,,,,,
3805,The Corrections,Jonathan Franzen,"Franzen, Jonathan",,1841156736,9.78E+12,0,3.8,Fourth Estate Paperbacks,Paperback,653,2002,2001,,12/30/2015,to-read,to-read (#52),to-read,,,,0,,,0,,,,,
1215032,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,"Rothfuss, Patrick",,756404738,9.78E+12,5,4.53,DAW Books,Hardcover,994,2011,2011,,12/1/2015,,,read,,,,1,,,0,,,,,
2654,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,,,4,4.27,Harper Perennial Modern Classics,Paperback,323,2005,1960,,4/11/2013,,,read,,,,1,,,0,,,,,
21480854,"Empire of Night (Age of Legends, #2)",Kelley Armstrong,"Armstrong, Kelley",,62071270,9.78E+12,5,4.12,HarperCollins,Hardcover,432,2015,2015,,7/22/2014,,,read,,,,1,,,0,,,,,
1451694,"Darkfever (Fever, #1)",Karen Marie Moning,"Moning, Karen Marie",,,,4,4.04,Dell,Mass Market Paperback,347,2008,2006,,12/24/2013,,,read,,,,1,,,0,,,,,
15704458,"Steelheart (Reckoners, #1)",Brandon Sanderson,"Sanderson, Brandon",,1299859291,9.78E+12,3,4.12,Delacorte Press,ebook,361,2013,2013,,9/24/2013,,,read,,,,1,,,0,,,,,
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,075640407X,9.78E+12,5,4.51,Penguin Group DAW,Hardcover,662,2007,2007,,11/17/2013,,,read,,,,1,,,0,,,,,
4588,Extremely Loud & Incredibly Close,Jonathan Safran Foer,"Foer, Jonathan Safran",,618711651,9.78E+12,5,3.96,Mariner Books,Paperback,326,2006,2005,,1/29/2015,,,read,,,,1,,,0,,,,,
18007564,The Martian,Andy Weir,"Weir, Andy",,804139024,9.78E+12,4,4.4,Crown,Hardcover,384,2014,2011,,4/1/2015,,,read,,,,1,,,0,,,,,
7624,Lord of the Flies,William Golding,"Golding, William",,140283331,9.78E+12,4,3.69,Penguin Books ,Paperback,182,1999,1954,,8/6/2013,,,read,,,,1,,,0,,,,,
3228917,Outliers: The Story of Success,Malcolm Gladwell,"Gladwell, Malcolm",,316017922,9.78E+12,4,4.17,"Little, Brown and Company",Hardcover,309,2008,2008,,1/16/2014,,,read,,,,1,,,0,,,,,
16085457,"Shadow Scale (Seraphina, #2)",Rachel Hartman,"Hartman, Rachel",,375866574,9.78E+12,3,3.75,Random House Children's Books,Hardcover,602,2015,2015,,4/5/2013,,,read,"Very disappointed that the second book just didn't add up to its predecessor. It was unsatisfying, slow, and lacking in key parts that I enjoyed in Seraphina (such as the connection between Seraphina and Kiggs, and the description of the music).",,,1,,,0,,,,,
629,"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,"Pirsig, Robert M.",,60589469,9.78E+12,0,3.77,HarperTorch,Mass Market Paperback,540,2006,1974,,4/25/2015,to-read,to-read (#50),to-read,,,,0,,,0,,,,,
343,Perfume: The Story of a Murderer,Patrick Süskind,"Süskind, Patrick",John E. Woods,140120831,9.78E+12,0,4.02,Penguin Books,Paperback,263,1987,1985,,4/1/2015,to-read,to-read (#49),to-read,,,,0,,,0,,,,,
53447,El túnel,Ernesto Sabato,"Sabato, Ernesto",Nino Pipia,9871144261,9.79E+12,0,4.04,Booket,Paperback,158,2003,1948,,4/1/2015,to-read,to-read (#48),to-read,,,,0,,,0,,,,,
17894477,"If This Isn't Nice, What Is?: Advice for the Young",Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut","Scott Brick, Kevin T. Collins",1480537373,9.78E+12,0,3.88,Brilliance Audio,MP3 CD,144,2013,2013,,2/23/2015,to-read,to-read (#47),to-read,,,,0,,,0,,,,,
16068755,Rebels: City of Indra (The Story of Lex and Livia #1),Kendall Jenner,"Jenner, Kendall","Kylie Jenner, Maya Sloan",,,4,2.98,Gallery Books,Kindle Edition,256,2014,2014,,1/29/2015,,,read,,,,1,,,0,,,,,
20665183,Reverie (The Poetic Underground #1),Erin Hanson,"Hanson, Erin",,1291692150,9.78E+12,0,4.47,Erin Hanson,Paperback,85,2014,2014,,1/8/2015,to-read,to-read (#46),to-read,,,,0,,,0,,,,,
7646805,"The Gift (Witch & Wizard, #2)",James Patterson,"Patterson, James",Ned Rust,1846054761,9.78E+12,5,3.78,,Paperback,333,2010,2010,,12/29/2014,,,read,,,,1,,,0,,,,,
